time,open,high,low,close,tick_volume,spread,real_volume
2026-02-18 15:28:00,1.18395,1.18396,1.18373,1.18377,100,0,0
2026-02-18 15:28:00,1.18395,1.18396,1.18373,1.18376,110,0,0
2026-02-18 15:29:00,1.18383,1.18385,1.18372,1.18375,55,1,0
2026-02-18 15:29:00,1.18383,1.18385,1.18372,1.18374,62,1,0
2026-02-18 15:30:00,1.18374,1.18374,1.18352,1.1835499999999999,157,0,0
2026-02-18 15:30:00,1.18374,1.18374,1.18352,1.18357,164,0,0
2026-02-18 15:31:00,1.18365,1.18388,1.1835499999999999,1.1835499999999999,116,0,0
2026-02-18 15:31:00,1.18365,1.18388,1.18353,1.18353,121,0,0
2026-02-18 15:32:00,1.1836,1.18381,1.18357,1.18376,72,0,0
2026-02-18 15:33:00,1.18375,1.18377,1.18365,1.18374,63,0,0
2026-02-18 15:34:00,1.18374,1.18379,1.1835,1.1835,85,0,0
2026-02-18 15:35:00,1.18352,1.18358,1.18337,1.18344,127,0,0
2026-02-18 15:36:00,1.18346,1.18359,1.18345,1.18359,154,1,0
2026-02-18 15:37:00,1.18359,1.18367,1.18344,1.18344,85,0,0
2026-02-18 15:38:00,1.18344,1.18353,1.18344,1.18348,98,0,0
2026-02-18 15:39:00,1.18348,1.18352,1.18344,1.18344,51,0,0
2026-02-18 15:40:00,1.18344,1.18353,1.18319,1.18349,139,0,0
2026-02-18 15:41:00,1.18349,1.1835,1.1833,1.18332,156,0,0
2026-02-18 15:42:00,1.18332,1.18346,1.18329,1.18336,94,0,0
2026-02-18 15:43:00,1.18339,1.18343,1.18319,1.18325,92,0,0
2026-02-18 15:44:00,1.18325,1.18337,1.18313,1.1832,115,0,0
2026-02-18 15:45:00,1.1832,1.18328,1.18309,1.18318,124,0,0
2026-02-18 15:46:00,1.18318,1.1832,1.18308,1.18315,110,0,0
2026-02-18 15:47:00,1.18314,1.18324,1.18268,1.18321,74,0,0
2026-02-18 15:48:00,1.18321,1.18325,1.1831,1.18312,51,0,0
2026-02-18 15:49:00,1.18312,1.18316,1.18299,1.18305,72,0,0
2026-02-18 15:50:00,1.18305,1.1831,1.18294,1.183,108,0,0
2026-02-18 15:51:00,1.183,1.18315,1.18299,1.1831,113,0,0
2026-02-18 15:52:00,1.1831,1.1831,1.18281,1.18284,100,0,0
2026-02-18 15:53:00,1.18284,1.18289,1.18265,1.18286,111,0,0
2026-02-18 15:54:00,1.18286,1.18297,1.18281,1.18288,104,1,0
2026-02-18 15:55:00,1.18288,1.18288,1.18251,1.18259,108,0,0
2026-02-18 15:56:00,1.18259,1.18274,1.18258,1.18264,111,0,0
2026-02-18 15:57:00,1.18263,1.18263,1.18235,1.18252,163,0,0
2026-02-18 16:34:00,1.18185,1.18196,1.18182,1.18186,148,0,0
2026-02-18 16:35:00,1.18186,1.18217,1.18185,1.1821,133,0,0
2026-02-18 16:36:00,1.1821,1.18211,1.18186,1.18192,125,0,0
2026-02-18 16:37:00,1.1819,1.18197,1.18185,1.1819,125,0,0
2026-02-18 16:38:00,1.18191,1.18201,1.18173,1.18182,89,0,0
2026-02-18 16:39:00,1.18182,1.18195,1.18174,1.18195,160,0,0
2026-02-18 16:40:00,1.18196,1.182,1.18184,1.18184,96,0,0
2026-02-18 16:41:00,1.18184,1.18187,1.18175,1.18184,118,0,0
2026-02-18 16:42:00,1.18184,1.18193,1.18172,1.18176,140,0,0
2026-02-18 16:43:00,1.18176,1.18185,1.18168,1.18185,143,0,0
2026-02-18 16:44:00,1.18185,1.18192,1.18157,1.18162,163,0,0
2026-02-18 16:45:00,1.18164,1.18176,1.18153,1.18169,155,0,0
2026-02-18 16:46:00,1.18169,1.18171,1.18158,1.18163,100,1,0
2026-02-18 16:47:00,1.18164,1.18172,1.18123,1.1816,147,1,0
2026-02-18 17:12:00,1.18214,1.18214,1.18198,1.18202,85,0,0
2026-02-18 17:13:00,1.18202,1.18212,1.18201,1.18206,95,0,0
2026-02-18 17:14:00,1.18206,1.18215,1.18201,1.18204,100,0,0
2026-02-18 17:15:00,1.18205,1.18207,1.18162,1.18164,221,0,0
2026-02-18 17:16:00,1.18166,1.18195,1.18165,1.18193,123,0,0
2026-02-18 17:17:00,1.18193,1.182,1.18178,1.18186,94,0,0
2026-02-18 17:18:00,1.18187,1.18197,1.18185,1.18192,70,0,0
2026-02-18 17:19:00,1.18192,1.18199,1.18175,1.18186,97,0,0
2026-02-18 17:20:00,1.18186,1.18189,1.18166,1.18177,105,0,0
2026-02-18 17:21:00,1.18176,1.18179,1.1816,1.18162,68,0,0
2026-02-18 17:22:00,1.18162,1.18163,1.18147,1.18155,82,0,0
2026-02-18 17:23:00,1.18155,1.18171,1.18149,1.1817,112,0,0
2026-02-18 17:24:00,1.1817,1.18172,1.18122,1.1815,83,0,0
2026-02-18 17:25:00,1.1815,1.18171,1.18149,1.18161,95,0,0
2026-02-18 17:26:00,1.18161,1.18175,1.18159,1.18174,75,0,0
2026-02-18 17:27:00,1.18174,1.18175,1.18161,1.18169,85,0,0
2026-02-18 17:28:00,1.18169,1.18176,1.18166,1.18176,59,0,0
2026-02-18 17:29:00,1.18176,1.18193,1.18173,1.18192,85,1,0
